Temperature,AbsoluteMagnetization,MagnetizationError,Susceptibility,SusceptibilityError
0.100000,1.000000,0.000000,0.000000,0.000000
0.200000,1.000000,0.000000,0.000000,0.000000
0.300000,1.000000,0.000000,0.000000,0.000000
0.400000,1.000000,0.000000,0.000000,0.000000
0.500000,1.000000,0.000000,0.000001,0.000000
0.600000,0.999996,0.000001,0.000013,0.000003
0.700000,0.999980,0.000001,0.000059,0.000003
0.800000,0.999914,0.000003,0.000219,0.000006
0.900000,0.999723,0.000002,0.000644,0.000010
1.000000,0.999290,0.000011,0.001529,0.000035
1.100000,0.998486,0.000018,0.003071,0.000039
1.200000,0.997047,0.000010,0.005756,0.000047
1.300000,0.994828,0.000029,0.009948,0.000117
1.400000,0.991448,0.000045,0.016806,0.000245
1.500000,0.986598,0.000066,0.026909,0.000355
1.600000,0.979797,0.000087,0.042591,0.000966
1.700000,0.970449,0.000134,0.067221,0.001060
1.800000,0.957229,0.000164,0.110673,0.002679
1.900000,0.939328,0.000134,0.180849,0.004336
2.000000,0.912958,0.000184,0.368076,0.016401
2.100000,0.872920,0.002199,0.935829,0.224355
2.200000,0.802823,0.004944,2.471315,0.580408
2.300000,0.641356,0.011945,11.336923,1.598154
2.400000,0.323357,0.026467,21.953069,0.980755
2.500000,0.165752,0.007895,8.258950,0.431481
2.600000,0.130323,0.004716,5.560101,0.184556
2.700000,0.105314,0.002830,3.508075,0.210096
2.800000,0.087202,0.001280,2.472768,0.093021
2.900000,0.077457,0.001222,1.924125,0.063177
3.000000,0.069170,0.001175,1.451908,0.034662
